Date,City,PM25,O3,NO2,SO2,CO
2022-01-19,Toronto-North,28,24,10, ,2
2022-01-20,Toronto-North,45,20,9, ,2
2022-01-21,Toronto-North,12,15,26, ,4
2022-01-22,Toronto-North,31,22,26, ,4
2022-01-23,Toronto-North,42,27,10, ,2
2022-01-24,Toronto-North,23,20,29, ,4
2022-01-25,Toronto-North,34,22,21, ,2
2022-01-26,Toronto-North,25,20,21, ,3
2022-01-27,Toronto-North,22,20,19, ,2
2022-01-28,Toronto-North,52,24,7, ,2
2022-01-29,Toronto-North,24,25,18, ,3
2022-01-30,Toronto-North,25,25,21, ,3
2022-01-31,Toronto-North,48,19,24, ,3
2022-02-01,Toronto-North,77,27,23, ,2
2022-02-02,Toronto-North,62,24,18, ,2
2022-02-03,Toronto-North,47,22,4, ,1
2022-02-04,Toronto-North,8,21,8, ,2
2022-02-05,Toronto-North,11,23,12, ,2
2022-02-06,Toronto-North,21,29,9, ,1
2022-02-07,Toronto-North,38,26,16,1,2
2022-02-08,Toronto-North,64,22,17, ,2
2022-02-09,Toronto-North,41,27,18, ,2
2022-02-10,Toronto-North,51,23,11, ,2
2022-02-11,Toronto-North,36,22,11, ,2
